ID|Name|Password|Role|Status
DIR001|Amin|1234|Director|Active
ADM001|Sara|abcd|Admin|Active
PAT001|Jacob|abcd|Patient|Active
DOC001|Ali|abcd|Doctor|Active
NUR001|Sarah|abcd|Nurse|Active
PAT002|Aina|abcd|Patient|Active
PAT003|Mimi|abcd|Patient|Active
PAT004|Mimi|abcd|Patient|Deactivated
DOC002|Ahmed|abcd|Doctor|Active
NUR002|Haleema|abcd|Nurse|Active
DOC003|Aleem|abcd|Doctor|Active
DOC004|afeef|abcd|Doctor|Active
PAT005|Jay|abcd|Patient|Active
DOC005|Ali|abcd|Doctor|Active
DOC006|Ahmed|abcd|Doctor|Active
DOC007|Ali|abcd|Doctor|Active
DOC008|Afeefa|abcd|Doctor|Active
PAT006|Kayle|abcd|Patient|Active
DOC009|Emma|abcd|Doctor|Active
DOC010|Elwis|abcd|Doctor|Active
DOC011|keekee|abcd|Doctor|Active
NUR003|Haleema|abcdef|Nurse|Active
PAT007|Suma|abcd|Patient|Active
PAT008|Ali|abcd|Patient|Active
PAT009|Farid|abcd|Patient|Active
PAT010|Mei Ling|abcd|Patient|Active
PAT011|Arjun|abcd|Patient|Active
PAT012|Siti|abcd|Patient|Active
DOC012|Ali|abcdef|Doctor|Active
NUR004|Suma|abcd|Nurse|Active
DOC013|Ahmed|abcd|Doctor|Active
PAT013|Ashraf|ashraf|Patient|Active
